Orthogroups,Ornithorhynchus_anatinus,Callithrix_jacchus,Cercocebus_atys,Macaca_fascicularis,Macaca_mulatta,Macaca_nemestrina,Papio_anubis,Gorilla_gorilla,Pan_paniscus,Pan_troglodytes,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Equus_caballus,Sus_scrofa,Bos_taurus,Capra_hircus,Ovis_aries,Manis_javanica,Oryctolagus_cuniculus,Mus_musculus,Rattus_norvegicus,Cavia_porcellus,Heterocephalus_glaber,Monodelphis_domestica,Microcebus_murinus,Chlorocebus_sabaeus
Orthogroup_11336,ENSOANG00000048298,ENSCJAG00000002888,ENSCATG00000035981,ENSMFAG00000039320,ENSMMUG00000016200,ENSMNEG00000028367,ENSPANG00000015120,ENSGGOG00000027268,ENSPPAG00000031395,ENSPTRG00000044537,ENSG00000182447,ENSCAFG00000014362,ENSFCAG00000013815,ENSECAG00000016989,ENSSSCG00000022248,ENSBTAG00000018489,ENSCHIG00000012937,ENSOARG00000001842,108395001,ENSOCUG00000027063,ENSMUSG00000027788,ENSRNOG00000021186,ENSCPOG00000000011,ENSHGLG00100001272,ENSMODG00000016286,ENSMICG00000010910,ENSCSAG00000012350
Orthogroup_11337,ENSOANG00000015840,ENSCJAG00000015416,ENSCATG00000032436,ENSMFAG00000044655,ENSMMUG00000016018,ENSMNEG00000038253,ENSPANG00000008112,ENSGGOG00000009689,NA,NA,ENSG00000171320,ENSCAFG00000008378,ENSFCAG00000014426,ENSECAG00000012899,ENSSSCG00000009670,ENSBTAG00000006551,ENSCHIG00000012950,ENSOARG00000014845,NA,ENSOCUG00000009932,ENSMUSG00000022034,NA,ENSCPOG00000024189,ENSHGLG00100010689,ENSMODG00000007226,NA,ENSCSAG00000015966
Orthogroup_11338,ENSOANG00000014492,ENSCJAG00000005343,ENSCATG00000038616,ENSMFAG00000034632,ENSMMUG00000017322,ENSMNEG00000034929,ENSPANG00000021604,ENSGGOG00000000442,ENSPPAG00000033408,ENSPTRG00000018193,ENSG00000146216,ENSCAFG00000001839,ENSFCAG00000009723,ENSECAG00000007438,ENSSSCG00000001664,ENSBTAG00000046107,ENSCHIG00000011661,ENSOARG00000006417,108402416,ENSOCUG00000028112,ENSMUSG00000015599,ENSRNOG00000018416,ENSCPOG00000039436,ENSHGLG00100006777,NA,ENSMICG00000008369,ENSCSAG00000011686
Orthogroup_11339,ENSOANG00000040880,ENSCJAG00000001432,ENSCATG00000039332,ENSMFAG00000003525,ENSMMUG00000016149,ENSMNEG00000042422,NA,NA,ENSPPAG00000034598,ENSPTRG00000016856,ENSG00000170571,ENSCAFG00000018487,ENSFCAG00000018860,ENSECAG00000000794,ENSSSCG00000029484,ENSBTAG00000044010,ENSCHIG00000012020,ENSOARG00000008468,108404631,ENSOCUG00000016659,ENSMUSG00000021728,ENSRNOG00000060329,ENSCPOG00000019838,ENSHGLG00100002250,ENSMODG00000020265,NA,ENSCSAG00000016728
Orthogroup_11340,ENSOANG00000021429,NA,ENSCATG00000021132,ENSMFAG00000037777,ENSMMUG00000016072,ENSMNEG00000039752,ENSPANG00000009093,ENSGGOG00000024645,ENSPPAG00000032423,ENSPTRG00000015213,ENSG00000114529,ENSCAFG00000030347,ENSFCAG00000005716,ENSECAG00000022902,ENSSSCG00000033637,ENSBTAG00000016554,ENSCHIG00000009163,ENSOARG00000019257,108394134,ENSOCUG00000009929,ENSMUSG00000033187,ENSRNOG00000022136,ENSCPOG00000030789,ENSHGLG00100001183,NA,ENSMICG00000009363,ENSCSAG00000006592
Orthogroup_11341,ENSOANG00000003090,ENSCJAG00000000920,ENSCATG00000034377,ENSMFAG00000002061,ENSMMUG00000016191,ENSMNEG00000033213,ENSPANG00000016095,ENSGGOG00000034981,ENSPPAG00000003074,ENSPTRG00000019178,ENSG00000179869,ENSCAFG00000003334,ENSFCAG00000013084,ENSECAG00000017039,ENSSSCG00000031141,ENSBTAG00000003531,ENSCHIG00000020126,ENSOARG00000015616,108405943,ENSOCUG00000013766,ENSMUSG00000004668,ENSRNOG00000025645,NA,ENSHGLG00100005833,ENSMODG00000009406,ENSMICG00000012462,ENSCSAG00000015934
Orthogroup_11342,ENSOANG00000012171,ENSCJAG00000059282,ENSCATG00000022163,ENSMFAG00000030882,ENSMMUG00000017244,ENSMNEG00000009630,ENSPANG00000018251,ENSGGOG00000000612,ENSPPAG00000038559,ENSPTRG00000015535,ENSG00000174946,ENSCAFG00000008520,ENSFCAG00000027964,ENSECAG00000001488,ENSSSCG00000036844,ENSBTAG00000009848,ENSCHIG00000008552,ENSOARG00000015348,108387342,ENSOCUG00000005877,ENSMUSG00000050075,ENSRNOG00000025297,ENSCPOG00000032865,ENSHGLG00100021141,ENSMODG00000024763,ENSMICG00000004482,ENSCSAG00000018903
Orthogroup_11343,ENSOANG00000015456,ENSCJAG00000041838,ENSCATG00000020067,ENSMFAG00000031840,ENSMMUG00000015151,ENSMNEG00000040735,ENSPANG00000023431,ENSGGOG00000003527,ENSPPAG00000036839,ENSPTRG00000002263,ENSG00000134460,ENSCAFG00000005210,ENSFCAG00000005794,ENSECAG00000018057,ENSSSCG00000022849,ENSBTAG00000020892,ENSCHIG00000009532,ENSOARG00000012860,108384839,NA,ENSMUSG00000026770,ENSRNOG00000047647,ENSCPOG00000005676,ENSHGLG00100011396,NA,ENSMICG00000013530,ENSCSAG00000013618
Orthogroup_11344,ENSOANG00000042029,ENSCJAG00000015213,ENSCATG00000039777,NA,ENSMMUG00000015309,ENSMNEG00000032852,ENSPANG00000018316,ENSGGOG00000023939,ENSPPAG00000039899,NA,ENSG00000106336,ENSCAFG00000014265,ENSFCAG00000006842,ENSECAG00000015517,ENSSSCG00000025096,ENSBTAG00000003169,ENSCHIG00000025122,ENSOARG00000016636,108409381,ENSOCUG00000022861,ENSMUSG00000089984,ENSRNOG00000024922,ENSCPOG00000006109,ENSHGLG00100010270,NA,ENSMICG00000009325,ENSCSAG00000017922
Orthogroup_11345,ENSOANG00000041390,ENSCJAG00000000960,ENSCATG00000036646,ENSMFAG00000040530,ENSMMUG00000017372,ENSMNEG00000025255,NA,ENSGGOG00000003522,ENSPPAG00000036717,ENSPTRG00000007083,ENSG00000137875,NA,ENSFCAG00000040864,ENSECAG00000026995,ENSSSCG00000004623,ENSBTAG00000033967,NA,ENSOARG00000020952,NA,ENSOCUG00000011889,ENSMUSG00000032191,ENSRNOG00000009308,NA,NA,ENSMODG00000001950,ENSMICG00000016608,ENSCSAG00000011373
Orthogroup_11346,ENSOANG00000049112,ENSCJAG00000003192,ENSCATG00000041334,ENSMFAG00000035762,ENSMMUG00000016276,ENSMNEG00000041227,ENSPANG00000000788,ENSGGOG00000009103,NA,ENSPTRG00000008040,ENSG00000177238,ENSCAFG00000016872,ENSFCAG00000006398,ENSECAG00000009008,ENSSSCG00000007757,ENSBTAG00000001503,ENSCHIG00000021118,ENSOARG00000008958,108400692,ENSOCUG00000015430,ENSMUSG00000042828,ENSRNOG00000022099,ENSCPOG00000024725,ENSHGLG00100009582,ENSMODG00000002561,ENSMICG00000006003,ENSCSAG00000005704
Orthogroup_11347,ENSOANG00000012537,ENSCJAG00000018986,ENSCATG00000037179,ENSMFAG00000039585,ENSMMUG00000016218,ENSMNEG00000002006,ENSPANG00000018830,ENSGGOG00000015601,ENSPPAG00000032825,ENSPTRG00000019796,ENSG00000106123,ENSCAFG00000003745,ENSFCAG00000014929,ENSECAG00000007276,ENSSSCG00000016473,ENSBTAG00000015510,ENSCHIG00000015303,ENSOARG00000016740,108400762,ENSOCUG00000007545,ENSMUSG00000029869,ENSRNOG00000014367,ENSCPOG00000005313,ENSHGLG00100000063,ENSMODG00000000983,ENSMICG00000007364,ENSCSAG00000007523
Orthogroup_11348,ENSOANG00000007367,ENSCJAG00000006204,ENSCATG00000037874,ENSMFAG00000037775,ENSMMUG00000016187,ENSMNEG00000040825,ENSPANG00000005630,ENSGGOG00000003646,ENSPPAG00000033028,ENSPTRG00000020514,ENSG00000147642,ENSCAFG00000000741,ENSFCAG00000031166,ENSECAG00000012812,ENSSSCG00000006023,ENSBTAG00000032548,ENSCHIG00000026780,ENSOARG00000012018,108395386,ENSOCUG00000004730,ENSMUSG00000022340,ENSRNOG00000004200,ENSCPOG00000023014,ENSHGLG00100002101,ENSMODG00000004746,ENSMICG00000013019,ENSCSAG00000011296
Orthogroup_11349,ENSOANG00000040523,ENSCJAG00000019544,ENSCATG00000039889,ENSMFAG00000003628,ENSMMUG00000017649,ENSMNEG00000043583,ENSPANG00000010502,ENSGGOG00000011022,ENSPPAG00000030855,ENSPTRG00000023584,ENSG00000112242,ENSCAFG00000031036,ENSFCAG00000041799,ENSECAG00000023441,ENSSSCG00000040178,ENSBTAG00000021045,ENSCHIG00000010662,ENSOARG00000009655,108401143,ENSOCUG00000014356,ENSMUSG00000016477,ENSRNOG00000029273,ENSCPOG00000035806,ENSHGLG00100002112,ENSMODG00000011331,ENSMICG00000005836,ENSCSAG00000007678
Orthogroup_11350,ENSOANG00000047192,ENSCJAG00000010331,ENSCATG00000037619,ENSMFAG00000036727,ENSMMUG00000017159,ENSMNEG00000040364,ENSPANG00000013260,ENSGGOG00000003239,ENSPPAG00000027153,NA,ENSG00000133619,ENSCAFG00000004450,ENSFCAG00000011430,ENSECAG00000014807,ENSSSCG00000034873,ENSBTAG00000010219,NA,ENSOARG00000000514,108383264,ENSOCUG00000001443,ENSMUSG00000042810,ENSRNOG00000007405,ENSCPOG00000010990,ENSHGLG00100003789,ENSMODG00000027603,ENSMICG00000009603,ENSCSAG00000006959
Orthogroup_11351,ENSOANG00000040230,ENSCJAG00000016873,ENSCATG00000038061,ENSMFAG00000003835,ENSMMUG00000017659,ENSMNEG00000035537,ENSPANG00000007694,ENSGGOG00000011561,ENSPPAG00000015671,ENSPTRG00000014642,ENSG00000163520,ENSCAFG00000004406,ENSFCAG00000007507,ENSECAG00000008859,ENSSSCG00000011609,ENSBTAG00000004014,NA,NA,108408220,ENSOCUG00000005900,ENSMUSG00000064080,ENSRNOG00000007338,ENSCPOG00000006125,ENSHGLG00100009238,NA,ENSMICG00000013258,ENSCSAG00000009449
Orthogroup_11352,ENSOANG00000039788,ENSCJAG00000071715,ENSCATG00000041712,ENSMFAG00000002361,ENSMMUG00000015676,ENSMNEG00000037939,ENSPANG00000047914,ENSGGOG00000026808,ENSPPAG00000026997,ENSPTRG00000049242,ENSG00000204539,ENSCAFG00000000474,ENSFCAG00000034111,ENSECAG00000035440,ENSSSCG00000030903,ENSBTAG00000021721,ENSCHIG00000008644,ENSOARG00000010516,108383655,ENSOCUG00000006280,ENSMUSG00000039518,ENSRNOG00000050215,ENSCPOG00000021515,ENSHGLG00100010874,NA,ENSMICG00000010150,ENSCSAG00000008379
Orthogroup_11353,ENSOANG00000043458,ENSCJAG00000023212,ENSCATG00000020573,ENSMFAG00000030150,ENSMMUG00000016221,ENSMNEG00000005079,NA,ENSGGOG00000008550,NA,ENSPTRG00000020507,ENSG00000164841,ENSCAFG00000000716,ENSFCAG00000022184,ENSECAG00000005498,ENSSSCG00000006031,ENSBTAG00000039141,ENSCHIG00000008377,ENSOARG00000014596,108384325,ENSOCUG00000000175,ENSMUSG00000054409,ENSRNOG00000065300,ENSCPOG00000040808,ENSHGLG00100015766,ENSMODG00000004939,ENSMICG00000006151,ENSCSAG00000018608
Orthogroup_11354,ENSOANG00000013241,ENSCJAG00000056389,ENSCATG00000031435,ENSMFAG00000041368,ENSMMUG00000015354,ENSMNEG00000031963,ENSPANG00000003352,ENSGGOG00000012420,ENSPPAG00000025806,ENSPTRG00000018579,ENSG00000118518,ENSCAFG00000001068,ENSFCAG00000015157,ENSECAG00000020445,ENSSSCG00000004217,ENSBTAG00000034531,NA,NA,108394178,ENSOCUG00000006545,ENSMUSG00000038876,ENSRNOG00000011588,ENSCPOG00000004785,NA,ENSMODG00000037610,ENSMICG00000008683,ENSCSAG00000018970
Orthogroup_11355,ENSOANG00000047521,ENSCJAG00000045223,ENSCATG00000038423,ENSMFAG00000003272,ENSMMUG00000016564,ENSMNEG00000007609,ENSPANG00000016138,ENSGGOG00000008824,ENSPPAG00000033171,ENSPTRG00000007258,ENSG00000138622,ENSCAFG00000031809,ENSFCAG00000005227,ENSECAG00000018537,ENSSSCG00000001920,ENSBTAG00000017466,ENSCHIG00000011435,ENSOARG00000019006,108395383,ENSOCUG00000007281,ENSMUSG00000032338,ENSRNOG00000009450,ENSCPOG00000022685,ENSHGLG00100000989,ENSMODG00000009883,ENSMICG00000007289,ENSCSAG00000013995
Orthogroup_11356,ENSOANG00000041061,ENSCJAG00000016529,ENSCATG00000032823,ENSMFAG00000034339,ENSMMUG00000018246,ENSMNEG00000037241,ENSPANG00000003022,ENSGGOG00000013364,ENSPPAG00000037562,ENSPTRG00000017320,ENSG00000113119,ENSCAFG00000005855,ENSFCAG00000001280,NA,ENSSSCG00000014370,ENSBTAG00000030589,ENSCHIG00000012882,ENSOARG00000018316,NA,ENSOCUG00000004236,ENSMUSG00000006850,ENSRNOG00000017718,ENSCPOG00000009172,ENSHGLG00100002311,ENSMODG00000011453,NA,ENSCSAG00000012735
Orthogroup_11357,ENSOANG00000005286,ENSCJAG00000075233,ENSCATG00000041321,ENSMFAG00000040830,ENSMMUG00000018493,ENSMNEG00000041726,ENSPANG00000008667,ENSGGOG00000006436,ENSPPAG00000028121,ENSPTRG00000016521,ENSG00000137460,ENSCAFG00000008214,ENSFCAG00000046337,ENSECAG00000021646,ENSSSCG00000009011,ENSBTAG00000043963,ENSCHIG00000011413,ENSOARG00000003385,108390949,ENSOCUG00000003876,ENSMUSG00000041842,ENSRNOG00000024594,ENSCPOG00000038337,NA,ENSMODG00000001112,ENSMICG00000004055,ENSCSAG00000003305
Orthogroup_11358,ENSOANG00000005754,ENSCJAG00000021336,ENSCATG00000031515,ENSMFAG00000042350,ENSMMUG00000018386,ENSMNEG00000015276,ENSPANG00000007890,ENSGGOG00000008250,ENSPPAG00000042408,ENSPTRG00000017369,ENSG00000156463,ENSCAFG00000006409,ENSFCAG00000008712,ENSECAG00000024467,ENSSSCG00000014410,ENSBTAG00000006762,ENSCHIG00000014437,ENSOARG00000002342,108396010,ENSOCUG00000015667,ENSMUSG00000057719,ENSRNOG00000018780,ENSCPOG00000012171,ENSHGLG00100002011,ENSMODG00000010250,ENSMICG00000003258,ENSCSAG00000012292
Orthogroup_11359,ENSOANG00000011342,ENSCJAG00000004046,ENSCATG00000039082,ENSMFAG00000040862,ENSMMUG00000018961,ENSMNEG00000039145,ENSPANG00000021837,ENSGGOG00000000868,ENSPPAG00000036424,ENSPTRG00000008418,ENSG00000140950,ENSCAFG00000019949,ENSFCAG00000011749,NA,ENSSSCG00000002672,NA,ENSCHIG00000022723,ENSOARG00000010901,108386508,ENSOCUG00000024636,ENSMUSG00000034105,ENSRNOG00000016224,ENSCPOG00000020731,ENSHGLG00100005451,ENSMODG00000004773,ENSMICG00000004583,NA
Orthogroup_11360,ENSOANG00000036004,ENSCJAG00000014664,ENSCATG00000021420,ENSMFAG00000033279,ENSMMUG00000019470,ENSMNEG00000017837,ENSPANG00000018659,ENSGGOG00000006196,ENSPPAG00000038593,ENSPTRG00000006500,ENSG00000100731,ENSCAFG00000016702,ENSFCAG00000004193,ENSECAG00000000934,ENSSSCG00000002330,ENSBTAG00000012565,ENSCHIG00000026327,ENSOARG00000021198,108406414,ENSOCUG00000003696,ENSMUSG00000021140,ENSRNOG00000007459,ENSCPOG00000001806,ENSHGLG00100005408,ENSMODG00000007103,ENSMICG00000013023,ENSCSAG00000012945
Orthogroup_11361,ENSOANG00000005309,ENSCJAG00000012799,ENSCATG00000045339,ENSMFAG00000042214,ENSMMUG00000019076,ENSMNEG00000036254,ENSPANG00000046787,ENSGGOG00000001606,ENSPPAG00000017794,ENSPTRG00000018721,ENSG00000112029,ENSCAFG00000000547,ENSFCAG00000030126,ENSECAG00000011630,ENSSSCG00000004077,ENSBTAG00000021193,ENSCHIG00000026682,ENSOARG00000003968,108409674,ENSOCUG00000000061,ENSMUSG00000019773,ENSRNOG00000024077,ENSCPOG00000007680,ENSHGLG00100000857,ENSMODG00000008501,ENSMICG00000003809,ENSCSAG00000013521
Orthogroup_11362,ENSOANG00000015779,ENSCJAG00000016645,ENSCATG00000010807,ENSMFAG00000043970,ENSMMUG00000017897,ENSMNEG00000031568,ENSPANG00000012020,ENSGGOG00000015967,ENSPPAG00000027640,ENSPTRG00000034340,ENSG00000214944,ENSCAFG00000008274,ENSFCAG00000013540,ENSECAG00000017689,ENSSSCG00000028317,ENSBTAG00000005633,ENSCHIG00000013942,ENSOARG00000004819,108395899,ENSOCUG00000000629,ENSMUSG00000021662,ENSRNOG00000016544,ENSCPOG00000006680,ENSHGLG00100010217,ENSMODG00000001838,ENSMICG00000011823,ENSCSAG00000015492
Orthogroup_11363,ENSOANG00000048839,ENSCJAG00000045011,ENSCATG00000032098,ENSMFAG00000043570,ENSMMUG00000017795,ENSMNEG00000031163,ENSPANG00000010096,ENSGGOG00000014674,ENSPPAG00000040164,ENSPTRG00000022005,NA,ENSCAFG00000028978,ENSFCAG00000014802,ENSECAG00000016543,ENSSSCG00000012397,ENSBTAG00000007626,ENSCHIG00000006485,ENSOARG00000016109,108403309,NA,ENSMUSG00000031304,ENSRNOG00000003954,ENSCPOG00000031320,ENSHGLG00100010576,ENSMODG00000005088,ENSMICG00000013995,ENSCSAG00000011507
Orthogroup_11364,ENSOANG00000002367,ENSCJAG00000015262,ENSCATG00000039991,ENSMFAG00000037197,ENSMMUG00000018255,ENSMNEG00000040963,ENSPANG00000009863,ENSGGOG00000006817,ENSPPAG00000042556,ENSPTRG00000008283,ENSG00000102908,ENSCAFG00000020254,ENSFCAG00000002956,ENSECAG00000010266,ENSSSCG00000002755,ENSBTAG00000013412,ENSCHIG00000013727,ENSOARG00000003591,108403085,ENSOCUG00000004386,ENSMUSG00000003847,ENSRNOG00000011879,ENSCPOG00000012425,NA,ENSMODG00000002743,ENSMICG00000004942,ENSCSAG00000004149
Orthogroup_11365,ENSOANG00000008279,ENSCJAG00000011867,ENSCATG00000025941,ENSMFAG00000042539,ENSMMUG00000017952,ENSMNEG00000034712,ENSPANG00000026002,ENSGGOG00000009343,ENSPPAG00000041008,ENSPTRG00000018244,ENSG00000198087,ENSCAFG00000002089,ENSFCAG00000027698,ENSECAG00000018037,ENSSSCG00000030197,ENSBTAG00000000322,ENSCHIG00000025885,ENSOARG00000011675,108393486,NA,ENSMUSG00000061665,ENSRNOG00000011987,ENSCPOG00000010757,NA,ENSMODG00000018870,ENSMICG00000015240,ENSCSAG00000012642
Orthogroup_11366,ENSOANG00000038877,ENSCJAG00000004755,ENSCATG00000044501,ENSMFAG00000042816,ENSMMUG00000020083,ENSMNEG00000020300,ENSPANG00000006622,ENSGGOG00000003296,ENSPPAG00000030720,ENSPTRG00000000673,ENSG00000070759,ENSCAFG00000004592,ENSFCAG00000027941,ENSECAG00000008704,ENSSSCG00000003917,ENSBTAG00000011244,ENSCHIG00000024948,ENSOARG00000001642,108391233,ENSOCUG00000007464,ENSMUSG00000033985,ENSRNOG00000017282,ENSCPOG00000012459,ENSHGLG00100006190,ENSMODG00000002412,ENSMICG00000013623,ENSCSAG00000001214
Orthogroup_11367,ENSOANG00000040294,ENSCJAG00000043077,ENSCATG00000012961,ENSMFAG00000032809,ENSMMUG00000020821,ENSMNEG00000045074,ENSPANG00000026090,ENSGGOG00000027549,ENSPPAG00000039500,ENSPTRG00000020142,ENSG00000133863,ENSCAFG00000006448,ENSFCAG00000041903,ENSECAG00000010827,ENSSSCG00000015841,ENSBTAG00000017083,NA,ENSOARG00000000131,108407880,ENSOCUG00000017093,ENSMUSG00000009628,ENSRNOG00000007748,NA,ENSHGLG00100004378,ENSMODG00000047912,ENSMICG00000010818,ENSCSAG00000015819
Orthogroup_11368,ENSOANG00000044900,ENSCJAG00000019906,ENSCATG00000041968,ENSMFAG00000002399,ENSMMUG00000019961,ENSMNEG00000036359,ENSPANG00000010763,ENSGGOG00000000726,ENSPPAG00000035016,ENSPTRG00000017936,ENSG00000146112,ENSCAFG00000000437,ENSFCAG00000040626,ENSECAG00000007626,ENSSSCG00000031492,ENSBTAG00000039695,ENSCHIG00000013286,ENSOARG00000011974,108409079,ENSOCUG00000002172,ENSMUSG00000034595,ENSRNOG00000000818,ENSCPOG00000033050,NA,ENSMODG00000015878,ENSMICG00000014846,ENSCSAG00000008261
Orthogroup_11369,ENSOANG00000041035,ENSCJAG00000087303,ENSCATG00000031442,ENSMFAG00000000973,ENSMMUG00000019481,ENSMNEG00000036565,ENSPANG00000010066,ENSGGOG00000006440,ENSPPAG00000013458,ENSPTRG00000033891,ENSG00000147606,ENSCAFG00000009051,ENSFCAG00000008754,ENSECAG00000003602,ENSSSCG00000006116,ENSBTAG00000032301,ENSCHIG00000016301,ENSOARG00000009573,108386217,ENSOCUG00000012527,ENSMUSG00000040569,ENSRNOG00000006096,ENSCPOG00000002686,ENSHGLG00100011316,ENSMODG00000007528,ENSMICG00000012285,ENSCSAG00000012805
Orthogroup_11370,ENSOANG00000005626,ENSCJAG00000019359,ENSCATG00000042956,ENSMFAG00000002037,ENSMMUG00000018766,ENSMNEG00000042510,ENSPANG00000022079,ENSGGOG00000026152,ENSPPAG00000038363,ENSPTRG00000002545,ENSG00000198739,ENSCAFG00000013270,ENSFCAG00000030902,ENSECAG00000002417,ENSSSCG00000010232,ENSBTAG00000016885,ENSCHIG00000023535,ENSOARG00000004741,108397329,ENSOCUG00000004014,ENSMUSG00000042846,ENSRNOG00000026466,ENSCPOG00000005794,ENSHGLG00100012029,ENSMODG00000017246,ENSMICG00000012570,ENSCSAG00000007477
Orthogroup_11371,ENSOANG00000000484,ENSCJAG00000008648,ENSCATG00000035148,ENSMFAG00000043290,ENSMMUG00000020334,ENSMNEG00000039512,ENSPANG00000008519,NA,NA,NA,ENSG00000184500,ENSCAFG00000008999,ENSFCAG00000039149,ENSECAG00000016509,ENSSSCG00000025463,ENSBTAG00000023652,ENSCHIG00000010494,ENSOARG00000017273,108402421,ENSOCUG00000025358,ENSMUSG00000022912,ENSRNOG00000048723,ENSCPOG00000000725,ENSHGLG00100010132,ENSMODG00000016982,NA,ENSCSAG00000005942
Orthogroup_11372,ENSOANG00000005976,NA,ENSCATG00000024511,NA,ENSMMUG00000017955,NA,ENSPANG00000000476,NA,ENSPPAG00000035830,NA,ENSG00000164393,ENSCAFG00000002092,ENSFCAG00000044315,ENSECAG00000023950,ENSSSCG00000023591,ENSBTAG00000037687,ENSCHIG00000020762,ENSOARG00000011748,NA,ENSOCUG00000013004,ENSMUSG00000057899,ENSRNOG00000025603,ENSCPOG00000010766,ENSHGLG00100015009,ENSMODG00000018863,ENSMICG00000015269,NA
Orthogroup_11373,ENSOANG00000037272,ENSCJAG00000004364,ENSCATG00000033705,ENSMFAG00000036646,ENSMMUG00000020979,ENSMNEG00000042622,ENSPANG00000018298,ENSGGOG00000012198,ENSPPAG00000031734,ENSPTRG00000014935,ENSG00000185614,ENSCAFG00000031572,ENSFCAG00000010679,ENSECAG00000015612,ENSSSCG00000033410,ENSBTAG00000012322,ENSCHIG00000014035,ENSOARG00000012365,108402883,ENSOCUG00000006590,ENSMUSG00000042106,ENSRNOG00000019363,ENSCPOG00000026986,ENSHGLG00100017485,ENSMODG00000012400,ENSMICG00000010761,ENSCSAG00000014577
Orthogroup_11374,ENSOANG00000013673,ENSCJAG00000017461,ENSCATG00000002905,ENSMFAG00000007080,ENSMMUG00000019799,ENSMNEG00000008633,ENSPANG00000008215,ENSGGOG00000012908,ENSPPAG00000004366,ENSPTRG00000041466,ENSG00000169704,ENSCAFG00000004342,ENSFCAG00000028803,ENSECAG00000018985,ENSSSCG00000031176,ENSBTAG00000014666,NA,NA,108396833,ENSOCUG00000026359,ENSMUSG00000030054,ENSRNOG00000010015,ENSCPOG00000024986,NA,ENSMODG00000008410,NA,ENSCSAG00000018812
Orthogroup_11375,ENSOANG00000050572,ENSCJAG00000016099,ENSCATG00000034296,ENSMFAG00000000459,ENSMMUG00000018398,ENSMNEG00000028986,ENSPANG00000025087,ENSGGOG00000000371,ENSPPAG00000014646,ENSPTRG00000017115,ENSG00000184349,ENSCAFG00000007448,ENSFCAG00000037704,ENSECAG00000012062,ENSSSCG00000036520,ENSBTAG00000016515,ENSCHIG00000012820,ENSOARG00000018761,108405281,ENSOCUG00000016107,ENSMUSG00000048915,ENSRNOG00000034177,ENSCPOG00000009527,ENSHGLG00100018704,ENSMODG00000041066,NA,ENSCSAG00000015123
Orthogroup_11376,ENSOANG00000037414,NA,ENSCATG00000030668,ENSMFAG00000024381,ENSMMUG00000020845,ENSMNEG00000043833,ENSPANG00000006608,ENSGGOG00000016146,ENSPPAG00000028959,ENSPTRG00000042769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthogroup_11377,ENSOANG00000006257,ENSCJAG00000000090,ENSCATG00000032530,ENSMFAG00000000602,ENSMMUG00000020010,ENSMNEG00000030028,ENSPANG00000017130,ENSGGOG00000012331,ENSPPAG00000036344,ENSPTRG00000020425,ENSG00000079112,ENSCAFG00000009144,ENSFCAG00000015508,ENSECAG00000017615,ENSSSCG00000006106,ENSBTAG00000021964,ENSCHIG00000012379,ENSOARG00000008009,108390179,ENSOCUG00000001029,ENSMUSG00000028217,ENSRNOG00000015562,ENSCPOG00000006582,ENSHGLG00100007580,ENSMODG00000007386,ENSMICG00000015201,ENSCSAG00000012742
Orthogroup_11378,ENSOANG00000006782,ENSCJAG00000003014,ENSCATG00000031192,ENSMFAG00000038407,ENSMMUG00000019857,ENSMNEG00000032110,ENSPANG00000012141,ENSGGOG00000003994,ENSPPAG00000040217,NA,ENSG00000170819,ENSCAFG00000006428,ENSFCAG00000005139,ENSECAG00000013287,ENSSSCG00000011636,ENSBTAG00000017659,ENSCHIG00000020270,ENSOARG00000008699,118973275,ENSOCUG00000015357,ENSMUSG00000032556,ENSRNOG00000010899,ENSCPOG00000009122,ENSHGLG00100013466,ENSMODG00000011564,ENSMICG00000000390,ENSCSAG00000010644
Orthogroup_11379,ENSOANG00000011593,ENSCJAG00000000249,ENSCATG00000030165,ENSMFAG00000032006,ENSMMUG00000017889,ENSMNEG00000039896,ENSPANG00000021220,ENSGGOG00000010075,ENSPPAG00000010863,ENSPTRG00000020398,ENSG00000170289,ENSCAFG00000008906,ENSFCAG00000013632,ENSECAG00000020748,ENSSSCG00000006134,ENSBTAG00000036304,ENSCHIG00000013099,ENSOARG00000011632,108394187,ENSOCUG00000017962,ENSMUSG00000056494,ENSRNOG00000006084,ENSCPOG00000012943,ENSHGLG00100002104,ENSMODG00000008010,NA,ENSCSAG00000012992
Orthogroup_11380,ENSOANG00000050219,ENSCJAG00000014830,ENSCATG00000031170,ENSMFAG00000004902,ENSMMUG00000020415,ENSMNEG00000005062,ENSPANG00000045929,ENSGGOG00000013065,ENSPPAG00000043575,ENSPTRG00000008309,ENSG00000157368,ENSCAFG00000020152,ENSFCAG00000028376,ENSECAG00000012327,ENSSSCG00000040629,ENSBTAG00000009357,ENSCHIG00000020291,ENSOARG00000004764,108397080,ENSOCUG00000022125,ENSMUSG00000031750,ENSRNOG00000017602,ENSCPOG00000039462,ENSHGLG00100012436,ENSMODG00000014322,NA,ENSCSAG00000004362
